distbin,District,purpose,value
25,4: South Suburban,University,134.0
25,5: East Suburban,University,192.0
25,6: North County West,University,188.0
25,7: North County East,University,189.0
25,8: East County,University,55.0
26,1: Downtown,University,2.0
26,2: Central,University,17.0
26,3: North City,University,141.0
26,4: South Suburban,University,105.0
26,5: East Suburban,University,212.0
26,6: North County West,University,120.0
26,7: North County East,University,161.0
26,8: East County,University,22.0
27,1: Downtown,University,1.0
27,2: Central,University,8.0
27,3: North City,University,97.0
27,4: South Suburban,University,87.0
27,5: East Suburban,University,189.0
27,6: North County West,University,112.0
27,7: North County East,University,87.0
27,8: East County,University,22.0
28,1: Downtown,University,
28,2: Central,University,3.0
28,3: North City,University,83.0
28,4: South Suburban,University,63.0
28,5: East Suburban,University,147.0
28,6: North County West,University,91.0
28,7: North County East,University,111.0
28,8: East County,University,2.0
29,1: Downtown,University,
29,2: Central,University,1.0
29,3: North City,University,62.0
29,4: South Suburban,University,30.0
29,5: East Suburban,University,118.0
29,6: North County West,University,64.0
29,7: North County East,University,67.0
29,8: East County,University,35.0
30,1: Downtown,University,
30,2: Central,University,
30,3: North City,University,38.0
30,4: South Suburban,University,19.0
30,5: East Suburban,University,89.0
30,6: North County West,University,20.0
30,7: North County East,University,97.0
30,8: East County,University,37.0
31,1: Downtown,University,
31,2: Central,University,1.0
31,3: North City,University,24.0
31,4: South Suburban,University,14.0
31,5: East Suburban,University,67.0
31,6: North County West,University,110.0
31,7: North County East,University,30.0
31,8: East County,University,16.0
32,1: Downtown,University,
32,2: Central,University,
32,3: North City,University,45.0
32,4: South Suburban,University,4.0
32,5: East Suburban,University,69.0
32,6: North County West,University,12.0
32,7: North County East,University,22.0
32,8: East County,University,27.0
33,1: Downtown,University,
33,2: Central,University,4.0
33,3: North City,University,47.0
33,4: South Suburban,University,6.0
33,5: East Suburban,University,53.0
33,6: North County West,University,21.0
33,7: North County East,University,29.0
33,8: East County,University,37.0
34,1: Downtown,University,
34,2: Central,University,2.0
34,3: North City,University,24.0
34,4: South Suburban,University,1.0
34,5: East Suburban,University,28.0
34,6: North County West,University,5.0
34,7: North County East,University,14.0
34,8: East County,University,37.0
35,1: Downtown,University,
35,2: Central,University,1.0
35,3: North City,University,4.0
35,4: South Suburban,University,1.0
35,5: East Suburban,University,9.0
35,6: North County West,University,9.0
35,7: North County East,University,8.0
35,8: East County,University,8.0
36,1: Downtown,University,
36,2: Central,University,3.0
36,3: North City,University,1.0
36,4: South Suburban,University,3.0
36,5: East Suburban,University,8.0
36,6: North County West,University,8.0
36,7: North County East,University,18.0
36,8: East County,University,20.0
37,1: Downtown,University,
37,2: Central,University,
37,3: North City,University,1.0
37,4: South Suburban,University,
37,5: East Suburban,University,8.0
37,6: North County West,University,2.0
37,7: North County East,University,7.0
37,8: East County,University,31.0
38,1: Downtown,University,
38,2: Central,University,2.0
38,3: North City,University,1.0
38,4: South Suburban,University,1.0
38,5: East Suburban,University,10.0
38,6: North County West,University,5.0
38,7: North County East,University,2.0
38,8: East County,University,14.0
39,1: Downtown,University,
39,2: Central,University,
39,3: North City,University,
39,4: South Suburban,University,1.0
39,5: East Suburban,University,9.0
39,6: North County West,University,
39,7: North County East,University,3.0
39,8: East County,University,15.0
40,1: Downtown,University,
40,2: Central,University,
40,3: North City,University,
40,4: South Suburban,University,
40,5: East Suburban,University,3.0
40,6: North County West,University,6.0
40,7: North County East,University,2.0
40,8: East County,University,11.0
41,1: Downtown,University,
41,2: Central,University,
41,3: North City,University,
41,4: South Suburban,University,
41,5: East Suburban,University,5.0
41,6: North County West,University,
41,7: North County East,University,3.0
41,8: East County,University,16.0
42,1: Downtown,University,
42,2: Central,University,
42,3: North City,University,
42,4: South Suburban,University,
42,5: East Suburban,University,1.0
42,6: North County West,University,
42,7: North County East,University,1.0
42,8: East County,University,7.0
43,1: Downtown,University,
43,2: Central,University,
43,3: North City,University,
43,4: South Suburban,University,
43,5: East Suburban,University,1.0
43,6: North County West,University,
43,7: North County East,University,1.0
43,8: East County,University,13.0
44,1: Downtown,University,
44,2: Central,University,
44,3: North City,University,
44,4: South Suburban,University,
44,5: East Suburban,University,
44,6: North County West,University,
44,7: North County East,University,
44,8: East County,University,14.0
45,1: Downtown,University,
45,2: Central,University,
45,3: North City,University,
45,4: South Suburban,University,
45,5: East Suburban,University,
45,6: North County West,University,
45,7: North County East,University,
45,8: East County,University,13.0
46,2: Central,University,
46,3: North City,University,
46,4: South Suburban,University,
46,5: East Suburban,University,
46,6: North County West,University,
46,7: North County East,University,1.0
46,8: East County,University,6.0
47,2: Central,University,
47,3: North City,University,
47,4: South Suburban,University,
47,5: East Suburban,University,
47,6: North County West,University,
47,7: North County East,University,
47,8: East County,University,3.0
48,1: Downtown,University,
48,2: Central,University,
48,3: North City,University,
48,4: South Suburban,University,1.0
48,5: East Suburban,University,
48,6: North County West,University,
48,7: North County East,University,
48,8: East County,University,6.0
49,1: Downtown,University,
49,2: Central,University,
49,3: North City,University,
49,4: South Suburban,University,
49,5: East Suburban,University,
49,6: North County West,University,
49,7: North County East,University,
49,8: East County,University,5.0
50,2: Central,University,
50,3: North City,University,
50,4: South Suburban,University,
50,5: East Suburban,University,
50,6: North County West,University,
50,7: North County East,University,
50,8: East County,University,8.0
99999,1: Downtown,University,
99999,2: Central,University,
99999,3: North City,University,
99999,4: South Suburban,University,
99999,5: East Suburban,University,
99999,6: North County West,University,
99999,7: North County East,University,
99999,8: East County,University,18.0
1,1: Downtown,School,3200.0
1,2: Central,School,36183.0
1,3: North City,School,28956.0
1,4: South Suburban,School,27043.0
1,5: East Suburban,School,27056.0
1,6: North County West,School,18827.0
1,7: North County East,School,23041.0
1,8: East County,School,380.0
2,1: Downtown,School,1166.0
2,2: Central,School,23743.0
2,3: North City,School,23516.0
2,4: South Suburban,School,20982.0
2,5: East Suburban,School,21861.0
2,6: North County West,School,16856.0
2,7: North County East,School,23003.0
2,8: East County,School,761.0
3,1: Downtown,School,571.0
3,2: Central,School,18815.0
3,3: North City,School,22584.0
3,4: South Suburban,School,18103.0
3,5: East Suburban,School,18259.0
3,6: North County West,School,14785.0
3,7: North County East,School,23435.0
3,8: East County,School,495.0
4,1: Downtown,School,334.0
4,2: Central,School,11901.0
4,3: North City,School,20013.0
4,4: South Suburban,School,13191.0
4,5: East Suburban,School,12651.0
4,6: North County West,School,14185.0
4,7: North County East,School,16506.0
4,8: East County,School,511.0
5,1: Downtown,School,344.0
5,2: Central,School,9261.0
5,3: North City,School,14173.0
5,4: South Suburban,School,8262.0
5,5: East Suburban,School,8444.0
5,6: North County West,School,9090.0
5,7: North County East,School,10591.0
5,8: East County,School,412.0
6,1: Downtown,School,328.0
6,2: Central,School,7532.0
6,3: North City,School,11150.0
6,4: South Suburban,School,5821.0
6,5: East Suburban,School,6397.0
6,6: North County West,School,6684.0
6,7: North County East,School,7205.0
6,8: East County,School,260.0
7,1: Downtown,School,303.0
7,2: Central,School,6160.0
7,3: North City,School,8724.0
7,4: South Suburban,School,4186.0
7,5: East Suburban,School,5332.0
7,6: North County West,School,3854.0
7,7: North County East,School,4296.0
7,8: East County,School,120.0
8,1: Downtown,School,204.0
8,2: Central,School,5086.0
8,3: North City,School,7043.0
8,4: South Suburban,School,3201.0
8,5: East Suburban,School,3965.0
8,6: North County West,School,2615.0
8,7: North County East,School,2598.0
8,8: East County,School,118.0
9,1: Downtown,School,143.0
9,2: Central,School,4287.0
9,3: North City,School,6059.0
9,4: South Suburban,School,2681.0
9,5: East Suburban,School,2991.0
9,6: North County West,School,1540.0
9,7: North County East,School,1978.0
9,8: East County,School,80.0
10,1: Downtown,School,165.0
10,2: Central,School,3681.0
10,3: North City,School,5260.0
10,4: South Suburban,School,1862.0
10,5: East Suburban,School,2197.0
10,6: North County West,School,2135.0
10,7: North County East,School,1302.0
10,8: East County,School,37.0
11,1: Downtown,School,121.0
11,2: Central,School,3510.0
11,3: North City,School,4434.0
11,4: South Suburban,School,1438.0
11,5: East Suburban,School,1873.0
11,6: North County West,School,1396.0
11,7: North County East,School,1001.0
11,8: East County,School,106.0
12,1: Downtown,School,90.0
12,2: Central,School,2879.0
12,3: North City,School,3817.0
12,4: South Suburban,School,1071.0
12,5: East Suburban,School,1644.0
12,6: North County West,School,1593.0
12,7: North County East,School,901.0
12,8: East County,School,215.0
13,1: Downtown,School,76.0
13,2: Central,School,2717.0
13,3: North City,School,3422.0
13,4: South Suburban,School,856.0
13,5: East Suburban,School,1435.0
13,6: North County West,School,1134.0
13,7: North County East,School,684.0
13,8: East County,School,165.0
14,1: Downtown,School,111.0
14,2: Central,School,2305.0
14,3: North City,School,3026.0
14,4: South Suburban,School,679.0
14,5: East Suburban,School,1199.0
14,6: North County West,School,1310.0
14,7: North County East,School,698.0
14,8: East County,School,49.0
15,1: Downtown,School,60.0
15,2: Central,School,1926.0
15,3: North City,School,2601.0
15,4: South Suburban,School,578.0
15,5: East Suburban,School,926.0
15,6: North County West,School,1244.0
15,7: North County East,School,564.0
15,8: East County,School,104.0
16,1: Downtown,School,90.0
16,2: Central,School,1563.0
16,3: North City,School,2226.0
16,4: South Suburban,School,441.0
16,5: East Suburban,School,916.0
16,6: North County West,School,558.0
16,7: North County East,School,434.0
16,8: East County,School,204.0
17,1: Downtown,School,68.0
17,2: Central,School,1461.0
17,3: North City,School,1926.0
17,4: South Suburban,School,393.0
17,5: East Suburban,School,658.0
17,6: North County West,School,323.0
17,7: North County East,School,355.0
17,8: East County,School,153.0
18,1: Downtown,School,45.0
18,2: Central,School,1210.0
18,3: North City,School,1809.0
18,4: South Suburban,School,270.0
18,5: East Suburban,School,580.0
18,6: North County West,School,234.0
18,7: North County East,School,313.0
18,8: East County,School,111.0
19,1: Downtown,School,20.0
19,2: Central,School,977.0
19,3: North City,School,1321.0
19,4: South Suburban,School,240.0
19,5: East Suburban,School,504.0
19,6: North County West,School,254.0
19,7: North County East,School,265.0
19,8: East County,School,255.0
20,1: Downtown,School,11.0
20,2: Central,School,652.0
20,3: North City,School,890.0
20,4: South Suburban,School,192.0
20,5: East Suburban,School,500.0
20,6: North County West,School,201.0
20,7: North County East,School,239.0
20,8: East County,School,197.0
21,1: Downtown,School,6.0
21,2: Central,School,298.0
21,3: North City,School,452.0
21,4: South Suburban,School,114.0
21,5: East Suburban,School,281.0
21,6: North County West,School,108.0
21,7: North County East,School,200.0
21,8: East County,School,128.0
22,1: Downtown,School,4.0
22,2: Central,School,212.0
22,3: North City,School,299.0
22,4: South Suburban,School,78.0
22,5: East Suburban,School,232.0
22,6: North County West,School,101.0
22,7: North County East,School,118.0
22,8: East County,School,66.0
23,1: Downtown,School,1.0
23,2: Central,School,138.0
23,3: North City,School,177.0
23,4: South Suburban,School,41.0
23,5: East Suburban,School,169.0
23,6: North County West,School,53.0
23,7: North County East,School,82.0
23,8: East County,School,24.0
24,1: Downtown,School,1.0
24,2: Central,School,111.0
24,3: North City,School,134.0
24,4: South Suburban,School,33.0
24,5: East Suburban,School,140.0
24,6: North County West,School,86.0
24,7: North County East,School,57.0
24,8: East County,School,100.0
25,1: Downtown,School,
25,2: Central,School,64.0
25,3: North City,School,119.0
25,4: South Suburban,School,22.0
25,5: East Suburban,School,112.0
25,6: North County West,School,46.0
25,7: North County East,School,51.0
25,8: East County,School,100.0
26,1: Downtown,School,
26,2: Central,School,57.0
26,3: North City,School,75.0
26,4: South Suburban,School,13.0
26,5: East Suburban,School,72.0
26,6: North County West,School,35.0
26,7: North County East,School,44.0
26,8: East County,School,71.0
27,1: Downtown,School,
27,2: Central,School,22.0
27,3: North City,School,33.0
27,4: South Suburban,School,11.0
27,5: East Suburban,School,53.0
27,6: North County West,School,20.0
27,7: North County East,School,56.0
27,8: East County,School,28.0
28,1: Downtown,School,
28,2: Central,School,11.0
28,3: North City,School,36.0
28,4: South Suburban,School,4.0
28,5: East Suburban,School,41.0
28,6: North County West,School,17.0
28,7: North County East,School,45.0
28,8: East County,School,73.0
29,1: Downtown,School,
29,2: Central,School,
29,3: North City,School,12.0
29,4: South Suburban,School,5.0
29,5: East Suburban,School,25.0
29,6: North County West,School,11.0
29,7: North County East,School,19.0
29,8: East County,School,66.0
30,1: Downtown,School,
30,2: Central,School,1.0
30,3: North City,School,19.0
30,4: South Suburban,School,
30,5: East Suburban,School,35.0
30,6: North County West,School,10.0
30,7: North County East,School,16.0
30,8: East County,School,57.0
31,1: Downtown,School,
31,2: Central,School,
31,3: North City,School,7.0
31,4: South Suburban,School,3.0
31,5: East Suburban,School,3.0
31,6: North County West,School,31.0
31,7: North County East,School,10.0
31,8: East County,School,57.0
32,1: Downtown,School,
32,2: Central,School,
32,3: North City,School,
32,4: South Suburban,School,2.0
32,5: East Suburban,School,6.0
32,6: North County West,School,5.0
32,7: North County East,School,7.0
32,8: East County,School,5.0
33,1: Downtown,School,
33,2: Central,School,
33,3: North City,School,
33,4: South Suburban,School,1.0
33,5: East Suburban,School,8.0
33,6: North County West,School,65.0
33,7: North County East,School,9.0
33,8: East County,School,58.0
34,1: Downtown,School,
34,2: Central,School,1.0
34,3: North City,School,3.0
34,4: South Suburban,School,
34,5: East Suburban,School,2.0
34,6: North County West,School,2.0
34,7: North County East,School,6.0
34,8: East County,School,26.0
35,1: Downtown,School,
35,2: Central,School,1.0
35,3: North City,School,
35,4: South Suburban,School,
35,5: East Suburban,School,1.0
35,6: North County West,School,320.0
35,7: North County East,School,
35,8: East County,School,2.0
36,1: Downtown,School,
36,2: Central,School,
36,3: North City,School,
36,4: South Suburban,School,
36,5: East Suburban,School,3.0
36,6: North County West,School,7.0
36,7: North County East,School,12.0
36,8: East County,School,4.0
37,1: Downtown,School,
37,2: Central,School,
37,3: North City,School,
37,4: South Suburban,School,
37,5: East Suburban,School,1.0
37,6: North County West,School,6.0
37,7: North County East,School,5.0
37,8: East County,School,12.0
38,1: Downtown,School,
38,2: Central,School,
38,3: North City,School,
38,4: South Suburban,School,
38,5: East Suburban,School,2.0
38,6: North County West,School,1.0
38,7: North County East,School,
38,8: East County,School,1.0
39,1: Downtown,School,
39,2: Central,School,
39,3: North City,School,
39,4: South Suburban,School,
39,5: East Suburban,School,
39,6: North County West,School,
39,7: North County East,School,1.0
39,8: East County,School,
40,1: Downtown,School,
40,2: Central,School,
40,3: North City,School,
40,4: South Suburban,School,
40,5: East Suburban,School,
40,6: North County West,School,
40,7: North County East,School,
40,8: East County,School,5.0
41,1: Downtown,School,
41,2: Central,School,
41,3: North City,School,
41,4: South Suburban,School,
41,5: East Suburban,School,1.0
41,6: North County West,School,
41,7: North County East,School,
41,8: East County,School,3.0
42,1: Downtown,School,
42,2: Central,School,1.0
42,3: North City,School,
42,4: South Suburban,School,1.0
42,5: East Suburban,School,
42,6: North County West,School,1.0
42,7: North County East,School,
42,8: East County,School,2.0
43,1: Downtown,School,
43,2: Central,School,
43,3: North City,School,
43,4: South Suburban,School,
43,5: East Suburban,School,1.0
43,6: North County West,School,
43,7: North County East,School,
43,8: East County,School,1.0
44,1: Downtown,School,
44,2: Central,School,1.0
44,3: North City,School,
44,4: South Suburban,School,
44,5: East Suburban,School,
44,6: North County West,School,
44,7: North County East,School,
44,8: East County,School,1.0
45,1: Downtown,School,
45,2: Central,School,
45,3: North City,School,
45,4: South Suburban,School,
45,5: East Suburban,School,
45,6: North County West,School,
45,7: North County East,School,
45,8: East County,School,
46,2: Central,School,
46,3: North City,School,
46,4: South Suburban,School,
46,5: East Suburban,School,
46,6: North County West,School,
46,7: North County East,School,
46,8: East County,School,2.0
47,2: Central,School,
47,3: North City,School,
47,4: South Suburban,School,
47,5: East Suburban,School,
47,6: North County West,School,1.0
47,7: North County East,School,1.0
47,8: East County,School,2.0
48,1: Downtown,School,
48,2: Central,School,
48,3: North City,School,
48,4: South Suburban,School,
48,5: East Suburban,School,
48,6: North County West,School,
48,7: North County East,School,
48,8: East County,School,
49,1: Downtown,School,
49,2: Central,School,
49,3: North City,School,
49,4: South Suburban,School,
49,5: East Suburban,School,
49,6: North County West,School,
49,7: North County East,School,
49,8: East County,School,
50,2: Central,School,
50,3: North City,School,
50,4: South Suburban,School,
50,5: East Suburban,School,
50,6: North County West,School,
50,7: North County East,School,1.0
50,8: East County,School,1.0
99999,1: Downtown,School,
99999,2: Central,School,
99999,3: North City,School,
99999,4: South Suburban,School,
99999,5: East Suburban,School,4.0
99999,6: North County West,School,
99999,7: North County East,School,3.0
99999,8: East County,School,16.0
