distbin,District,purpose,survey_value,model_value
1,1: Downtown,Work,7151.0776,3066.0
2,1: Downtown,Work,1220.9641,1826.0
3,1: Downtown,Work,1303.9622,1232.0
4,1: Downtown,Work,282.7968,1137.0
5,1: Downtown,Work,269.7468,1105.0
6,1: Downtown,Work,974.2289,942.0
7,1: Downtown,Work,246.3954,923.0
8,1: Downtown,Work,257.8277,770.0
9,1: Downtown,Work,752.292,850.0
10,1: Downtown,Work,634.9438,1302.0
11,1: Downtown,Work,39.391,978.0
12,1: Downtown,Work,117.5281,471.0
13,1: Downtown,Work,308.2377,492.0
14,1: Downtown,Work,141.3186,629.0
15,1: Downtown,Work,1124.1999,722.0
16,1: Downtown,Work,832.4856,793.0
17,1: Downtown,Work,263.7868,412.0
18,1: Downtown,Work,325.0575,222.0
19,1: Downtown,Work,75.5493,148.0
20,1: Downtown,Work,39.5185,125.0
21,1: Downtown,Work,148.5119,128.0
22,1: Downtown,Work,79.0174,171.0
23,1: Downtown,Work,39.521,140.0
24,1: Downtown,Work,420.3247,122.0
25,1: Downtown,Work,59.3041,72.0
26,1: Downtown,Work,19.7672,37.0
27,1: Downtown,Work,19.7455,38.0
28,1: Downtown,Work,0.0,31.0
29,1: Downtown,Work,0.0,23.0
30,1: Downtown,Work,0.0,15.0
31,1: Downtown,Work,0.0,14.0
32,1: Downtown,Work,19.7514,38.0
33,1: Downtown,Work,0.0,37.0
34,1: Downtown,Work,19.7672,46.0
35,1: Downtown,Work,19.7455,34.0
36,1: Downtown,Work,19.7672,24.0
37,1: Downtown,Work,0.0,9.0
38,1: Downtown,Work,0.0,18.0
39,1: Downtown,Work,0.0,11.0
40,1: Downtown,Work,19.7415,3.0
41,1: Downtown,Work,0.0,10.0
42,1: Downtown,Work,19.7672,4.0
43,1: Downtown,Work,0.0,6.0
44,1: Downtown,Work,0.0,2.0
45,1: Downtown,Work,0.0,1.0
46,1: Downtown,Work,0.0,0.0
47,1: Downtown,Work,0.0,0.0
48,1: Downtown,Work,0.0,1.0
49,1: Downtown,Work,0.0,1.0
50,1: Downtown,Work,0.0,0.0
51,1: Downtown,Work,0.0,0.0
1,2: Central,Work,2633.6942,18227.0
2,2: Central,Work,12812.1103,15112.0
3,2: Central,Work,7299.0481,15723.0
4,2: Central,Work,16792.8212,15413.0
5,2: Central,Work,8014.5758,15104.0
6,2: Central,Work,12030.4317,15425.0
7,2: Central,Work,12903.6501,19464.0
8,2: Central,Work,14886.9029,18257.0
9,2: Central,Work,14424.944,17289.0
10,2: Central,Work,17645.7837,16789.0
11,2: Central,Work,10436.1809,15485.0
12,2: Central,Work,7202.8715,14584.0
13,2: Central,Work,10783.7743,12895.0
14,2: Central,Work,6085.3853,11935.0
15,2: Central,Work,12696.0062,9845.0
16,2: Central,Work,7961.4081,8107.0
17,2: Central,Work,6827.9988,6989.0
18,2: Central,Work,3213.8226,5771.0
19,2: Central,Work,7770.0669,4774.0
20,2: Central,Work,3355.8469,4017.0
21,2: Central,Work,446.864,3194.0
22,2: Central,Work,1621.9183,2568.0
23,2: Central,Work,2322.4897,1977.0
24,2: Central,Work,387.4311,1701.0
25,2: Central,Work,944.1374,1440.0
26,2: Central,Work,434.9907,1099.0
27,2: Central,Work,1561.3164,773.0
28,2: Central,Work,374.0145,636.0
29,2: Central,Work,198.1472,554.0
30,2: Central,Work,201.5184,458.0
31,2: Central,Work,142.2809,442.0
32,2: Central,Work,210.3757,467.0
33,2: Central,Work,869.6476,486.0
34,2: Central,Work,170.6552,363.0
35,2: Central,Work,65.8822,362.0
36,2: Central,Work,679.7302,288.0
37,2: Central,Work,0.0,258.0
38,2: Central,Work,0.0,213.0
39,2: Central,Work,537.3334,212.0
40,2: Central,Work,0.0,156.0
41,2: Central,Work,1549.652,116.0
42,2: Central,Work,0.0,99.0
43,2: Central,Work,0.0,76.0
44,2: Central,Work,0.0,51.0
45,2: Central,Work,0.0,37.0
46,2: Central,Work,0.0,28.0
47,2: Central,Work,0.0,24.0
48,2: Central,Work,0.0,12.0
49,2: Central,Work,0.0,12.0
50,2: Central,Work,0.0,8.0
51,2: Central,Work,114.6893,0.0
1,3: North City,Work,10149.2968,6819.0
2,3: North City,Work,16664.239,14469.0
3,3: North City,Work,14454.6172,16879.0
4,3: North City,Work,16377.5476,19880.0
5,3: North City,Work,16656.1014,18917.0
6,3: North City,Work,21934.6416,18711.0
7,3: North City,Work,14009.6179,20358.0
8,3: North City,Work,18991.7179,19314.0
9,3: North City,Work,25134.1936,21118.0
10,3: North City,Work,17195.8688,22547.0
11,3: North City,Work,13929.6067,20557.0
12,3: North City,Work,11258.9269,18672.0
13,3: North City,Work,14283.1452,17114.0
14,3: North City,Work,9305.0173,15704.0
15,3: North City,Work,10491.253,14057.0
16,3: North City,Work,9512.0204,13152.0
17,3: North City,Work,13599.126,11998.0
18,3: North City,Work,9562.7375,11417.0
19,3: North City,Work,16412.1765,10405.0
20,3: North City,Work,3254.9089,8812.0
21,3: North City,Work,7505.3135,7553.0
22,3: North City,Work,2154.2429,6564.0
23,3: North City,Work,3341.1846,5433.0
24,3: North City,Work,2304.2323,4806.0
25,3: North City,Work,3497.1236,4060.0
26,3: North City,Work,2468.8425,3413.0
27,3: North City,Work,3049.8989,2866.0
28,3: North City,Work,1833.2791,2407.0
29,3: North City,Work,752.9162,1854.0
30,3: North City,Work,2529.8267,1586.0
31,3: North City,Work,0.0,1270.0
32,3: North City,Work,139.0417,1035.0
33,3: North City,Work,565.0505,849.0
34,3: North City,Work,0.0,689.0
35,3: North City,Work,245.9648,467.0
36,3: North City,Work,0.0,425.0
37,3: North City,Work,494.7613,335.0
38,3: North City,Work,104.4645,292.0
39,3: North City,Work,0.0,229.0
40,3: North City,Work,0.0,147.0
41,3: North City,Work,0.0,112.0
42,3: North City,Work,0.0,84.0
43,3: North City,Work,0.0,68.0
44,3: North City,Work,0.0,71.0
45,3: North City,Work,0.0,64.0
46,3: North City,Work,0.0,51.0
47,3: North City,Work,74.8401,35.0
48,3: North City,Work,171.1385,26.0
49,3: North City,Work,65.8224,29.0
50,3: North City,Work,463.9399,13.0
51,3: North City,Work,0.0,0.0
1,4: South Suburban,Work,7025.6181,3190.0
2,4: South Suburban,Work,2331.5375,6951.0
3,4: South Suburban,Work,7218.7132,7800.0
4,4: South Suburban,Work,7551.4927,7254.0
5,4: South Suburban,Work,3950.2965,6141.0
6,4: South Suburban,Work,8484.2052,5283.0
7,4: South Suburban,Work,5437.705,6086.0
8,4: South Suburban,Work,2146.7468,6015.0
9,4: South Suburban,Work,2980.0754,7088.0
10,4: South Suburban,Work,3644.1581,7677.0
11,4: South Suburban,Work,3733.1284,6958.0
12,4: South Suburban,Work,5491.4274,6744.0
13,4: South Suburban,Work,7433.1599,6911.0
14,4: South Suburban,Work,5950.9675,7212.0
15,4: South Suburban,Work,4882.3617,7359.0
16,4: South Suburban,Work,9382.2991,7139.0
17,4: South Suburban,Work,12237.6569,6447.0
18,4: South Suburban,Work,4065.2869,6061.0
19,4: South Suburban,Work,4887.5982,5764.0
20,4: South Suburban,Work,2720.8336,5049.0
21,4: South Suburban,Work,2855.8497,4520.0
22,4: South Suburban,Work,4440.0723,3923.0
23,4: South Suburban,Work,1196.2438,3184.0
24,4: South Suburban,Work,1392.1643,2599.0
25,4: South Suburban,Work,2740.3343,2368.0
26,4: South Suburban,Work,1855.3306,2100.0
27,4: South Suburban,Work,4909.2986,1958.0
28,4: South Suburban,Work,65.4771,1605.0
29,4: South Suburban,Work,357.2763,1264.0
30,4: South Suburban,Work,65.6496,913.0
31,4: South Suburban,Work,183.992,820.0
32,4: South Suburban,Work,65.1586,708.0
33,4: South Suburban,Work,0.0,542.0
34,4: South Suburban,Work,130.2154,469.0
35,4: South Suburban,Work,65.6714,327.0
36,4: South Suburban,Work,0.0,258.0
37,4: South Suburban,Work,0.0,166.0
38,4: South Suburban,Work,65.7202,152.0
39,4: South Suburban,Work,0.0,147.0
40,4: South Suburban,Work,1340.5237,137.0
41,4: South Suburban,Work,0.0,115.0
42,4: South Suburban,Work,0.0,112.0
43,4: South Suburban,Work,0.0,107.0
44,4: South Suburban,Work,0.0,123.0
45,4: South Suburban,Work,0.0,63.0
46,4: South Suburban,Work,0.0,70.0
47,4: South Suburban,Work,0.0,80.0
48,4: South Suburban,Work,0.0,60.0
49,4: South Suburban,Work,0.0,61.0
50,4: South Suburban,Work,0.0,44.0
51,4: South Suburban,Work,0.0,0.0
1,5: East Suburban,Work,6758.0357,3784.0
2,5: East Suburban,Work,9127.524,7970.0
3,5: East Suburban,Work,6811.106,8869.0
4,5: East Suburban,Work,5584.4767,8098.0
5,5: East Suburban,Work,5819.8784,7288.0
6,5: East Suburban,Work,5596.0849,6841.0
7,5: East Suburban,Work,5883.5834,7189.0
8,5: East Suburban,Work,5818.5547,6462.0
9,5: East Suburban,Work,7462.2459,7518.0
10,5: East Suburban,Work,5860.9269,8985.0
11,5: East Suburban,Work,4296.6431,8960.0
12,5: East Suburban,Work,2208.6357,9159.0
13,5: East Suburban,Work,7531.2385,9215.0
14,5: East Suburban,Work,5793.7092,9179.0
15,5: East Suburban,Work,7027.2002,9770.0
16,5: East Suburban,Work,6311.1071,9693.0
17,5: East Suburban,Work,3294.5771,9550.0
18,5: East Suburban,Work,4715.2883,9212.0
19,5: East Suburban,Work,4031.5054,8792.0
20,5: East Suburban,Work,10090.329,7793.0
21,5: East Suburban,Work,6764.7093,7040.0
22,5: East Suburban,Work,1492.1863,6230.0
23,5: East Suburban,Work,4191.9722,5539.0
24,5: East Suburban,Work,3193.5218,4660.0
25,5: East Suburban,Work,1447.7072,3763.0
26,5: East Suburban,Work,2898.9303,3003.0
27,5: East Suburban,Work,297.9513,2568.0
28,5: East Suburban,Work,1588.7042,2095.0
29,5: East Suburban,Work,84.6859,1881.0
30,5: East Suburban,Work,150.0882,1485.0
31,5: East Suburban,Work,65.2631,1313.0
32,5: East Suburban,Work,1317.9402,1234.0
33,5: East Suburban,Work,249.7969,1012.0
34,5: East Suburban,Work,114.6194,861.0
35,5: East Suburban,Work,65.3401,730.0
36,5: East Suburban,Work,195.7196,706.0
37,5: East Suburban,Work,1338.9885,602.0
38,5: East Suburban,Work,65.0568,571.0
39,5: East Suburban,Work,65.1258,528.0
40,5: East Suburban,Work,1341.1231,450.0
41,5: East Suburban,Work,65.0568,345.0
42,5: East Suburban,Work,0.0,234.0
43,5: East Suburban,Work,1342.5356,193.0
44,5: East Suburban,Work,146.6497,162.0
45,5: East Suburban,Work,0.0,140.0
46,5: East Suburban,Work,0.0,123.0
47,5: East Suburban,Work,0.0,75.0
48,5: East Suburban,Work,0.0,70.0
49,5: East Suburban,Work,119.1071,68.0
50,5: East Suburban,Work,0.0,43.0
51,5: East Suburban,Work,1548.6598,0.0
1,6: North County West,Work,3465.1314,5055.0
2,6: North County West,Work,6307.0023,6716.0
3,6: North County West,Work,6819.701,8501.0
4,6: North County West,Work,11894.1127,12171.0
5,6: North County West,Work,6560.8403,16853.0
6,6: North County West,Work,5039.0921,9341.0
7,6: North County West,Work,7155.5329,9751.0
8,6: North County West,Work,8941.241,8087.0
9,6: North County West,Work,6803.0991,9569.0
10,6: North County West,Work,5366.0454,11681.0
11,6: North County West,Work,3898.063,7901.0
12,6: North County West,Work,6100.5039,7864.0
13,6: North County West,Work,6315.3289,6543.0
14,6: North County West,Work,2084.5327,6691.0
15,6: North County West,Work,1224.7389,5926.0
16,6: North County West,Work,2843.9719,5783.0
17,6: North County West,Work,2837.0035,4748.0
18,6: North County West,Work,5239.0816,4512.0
19,6: North County West,Work,1529.8684,4867.0
20,6: North County West,Work,507.6914,4186.0
21,6: North County West,Work,1401.9831,3593.0
22,6: North County West,Work,2047.7653,3217.0
23,6: North County West,Work,2104.3305,3243.0
24,6: North County West,Work,665.6703,3114.0
25,6: North County West,Work,289.1163,2861.0
26,6: North County West,Work,2243.1143,2786.0
27,6: North County West,Work,1631.4096,2727.0
28,6: North County West,Work,833.3768,2509.0
29,6: North County West,Work,65.6781,2149.0
30,6: North County West,Work,4267.8964,2116.0
31,6: North County West,Work,712.4592,1859.0
32,6: North County West,Work,84.6606,1686.0
33,6: North County West,Work,1519.0496,1509.0
34,6: North County West,Work,317.3351,1319.0
35,6: North County West,Work,266.9634,1117.0
36,6: North County West,Work,156.3941,984.0
37,6: North County West,Work,65.4098,808.0
38,6: North County West,Work,1354.9194,676.0
39,6: North County West,Work,1320.5259,538.0
40,6: North County West,Work,1206.459,490.0
41,6: North County West,Work,224.8515,389.0
42,6: North County West,Work,0.0,330.0
43,6: North County West,Work,476.9421,257.0
44,6: North County West,Work,256.0033,240.0
45,6: North County West,Work,1290.8545,184.0
46,6: North County West,Work,65.0568,161.0
47,6: North County West,Work,0.0,128.0
48,6: North County West,Work,295.0386,110.0
49,6: North County West,Work,0.0,87.0
50,6: North County West,Work,0.0,66.0
51,6: North County West,Work,503.2004,0.0
1,7: North County East,Work,3132.96,4371.0
2,7: North County East,Work,8529.7807,9982.0
3,7: North County East,Work,7883.2025,11401.0
4,7: North County East,Work,5633.5887,10022.0
5,7: North County East,Work,6080.4849,8478.0
6,7: North County East,Work,3035.126,7393.0
7,7: North County East,Work,5215.146,7949.0
8,7: North County East,Work,8014.3935,7758.0
9,7: North County East,Work,7529.8587,8257.0
10,7: North County East,Work,5691.7248,7401.0
11,7: North County East,Work,428.5819,7068.0
12,7: North County East,Work,4927.7563,6624.0
13,7: North County East,Work,2555.4959,6309.0
14,7: North County East,Work,4194.0045,6035.0
15,7: North County East,Work,6914.0853,5660.0
16,7: North County East,Work,4593.451,5110.0
17,7: North County East,Work,4420.354,4854.0
18,7: North County East,Work,2887.2726,4470.0
19,7: North County East,Work,2216.4933,4245.0
20,7: North County East,Work,422.628,4174.0
21,7: North County East,Work,6354.6417,4083.0
22,7: North County East,Work,2031.52,3664.0
23,7: North County East,Work,1323.821,3595.0
24,7: North County East,Work,2565.472,3678.0
25,7: North County East,Work,1727.7671,3358.0
26,7: North County East,Work,2363.9289,3364.0
27,7: North County East,Work,1481.3483,3003.0
28,7: North County East,Work,1345.5518,2657.0
29,7: North County East,Work,183.9731,2504.0
30,7: North County East,Work,267.1086,2427.0
31,7: North County East,Work,336.3245,2180.0
32,7: North County East,Work,2271.8063,2118.0
33,7: North County East,Work,1527.6358,1932.0
34,7: North County East,Work,173.6696,1732.0
35,7: North County East,Work,0.0,1438.0
36,7: North County East,Work,380.3488,1158.0
37,7: North County East,Work,1694.4035,963.0
38,7: North County East,Work,579.5019,874.0
39,7: North County East,Work,1423.3026,725.0
40,7: North County East,Work,130.1746,624.0
41,7: North County East,Work,65.0861,524.0
42,7: North County East,Work,65.0862,428.0
43,7: North County East,Work,65.0862,361.0
44,7: North County East,Work,0.0,339.0
45,7: North County East,Work,1396.4509,262.0
46,7: North County East,Work,65.0861,197.0
47,7: North County East,Work,35.948,195.0
48,7: North County East,Work,1585.5056,157.0
49,7: North County East,Work,401.2546,152.0
50,7: North County East,Work,65.0885,96.0
51,7: North County East,Work,1479.5967,0.0
1,8: East County,Work,0.0,138.0
2,8: East County,Work,0.0,481.0
3,8: East County,Work,0.0,282.0
4,8: East County,Work,0.0,219.0
5,8: East County,Work,0.0,202.0
6,8: East County,Work,0.0,156.0
7,8: East County,Work,0.0,162.0
8,8: East County,Work,0.0,46.0
9,8: East County,Work,0.0,178.0
10,8: East County,Work,0.0,91.0
11,8: East County,Work,0.0,102.0
12,8: East County,Work,0.0,124.0
13,8: East County,Work,0.0,152.0
14,8: East County,Work,0.0,135.0
15,8: East County,Work,0.0,67.0
16,8: East County,Work,0.0,88.0
17,8: East County,Work,0.0,108.0
18,8: East County,Work,0.0,85.0
19,8: East County,Work,0.0,93.0
20,8: East County,Work,0.0,97.0
21,8: East County,Work,0.0,160.0
22,8: East County,Work,0.0,95.0
23,8: East County,Work,0.0,85.0
24,8: East County,Work,0.0,225.0
25,8: East County,Work,0.0,231.0
26,8: East County,Work,0.0,186.0
27,8: East County,Work,0.0,190.0
28,8: East County,Work,0.0,185.0
29,8: East County,Work,0.0,188.0
30,8: East County,Work,0.0,186.0
31,8: East County,Work,0.0,221.0
32,8: East County,Work,0.0,136.0
33,8: East County,Work,0.0,109.0
34,8: East County,Work,0.0,168.0
35,8: East County,Work,0.0,134.0
36,8: East County,Work,0.0,171.0
37,8: East County,Work,0.0,216.0
38,8: East County,Work,0.0,149.0
39,8: East County,Work,0.0,154.0
40,8: East County,Work,0.0,141.0
41,8: East County,Work,0.0,184.0
42,8: East County,Work,0.0,135.0
43,8: East County,Work,0.0,154.0
44,8: East County,Work,0.0,120.0
45,8: East County,Work,0.0,147.0
46,8: East County,Work,0.0,134.0
47,8: East County,Work,0.0,87.0
48,8: East County,Work,0.0,86.0
49,8: East County,Work,0.0,77.0
50,8: East County,Work,0.0,79.0
51,8: East County,Work,527.1281,0.0
1,Total,Work,40315.8138,44650.0
2,Total,Work,56993.1579,63507.0
3,Total,Work,51790.3502,70687.0
4,Total,Work,64116.8364,74194.0
5,Total,Work,47351.9241,74088.0
6,Total,Work,57093.8104,64092.0
7,Total,Work,50851.6307,71882.0
8,Total,Work,59057.3845,66709.0
9,Total,Work,65086.7087,71867.0
10,Total,Work,56039.4515,76473.0
11,Total,Work,36761.595,68009.0
12,Total,Work,37307.6498,64242.0
13,Total,Work,49210.3804,59631.0
14,Total,Work,33554.9351,57520.0
15,Total,Work,44359.8452,53406.0
16,Total,Work,41436.7432,49865.0
17,Total,Work,43480.5031,45106.0
18,Total,Work,30008.547,41750.0
19,Total,Work,36923.258,39088.0
20,Total,Work,20391.7563,34253.0
21,Total,Work,25477.8732,30271.0
22,Total,Work,13866.7225,26432.0
23,Total,Work,14519.5628,23196.0
24,Total,Work,10928.8165,20905.0
25,Total,Work,10705.49,18153.0
26,Total,Work,12284.9045,15988.0
27,Total,Work,12950.9686,14123.0
28,Total,Work,6040.4035,12125.0
29,Total,Work,1642.6768,10417.0
30,Total,Work,7482.0879,9186.0
31,Total,Work,1440.3197,8119.0
32,Total,Work,4108.7345,7422.0
33,Total,Work,4731.1804,6476.0
34,Total,Work,926.2619,5647.0
35,Total,Work,729.5674,4609.0
36,Total,Work,1431.9599,4014.0
37,Total,Work,3593.5631,3357.0
38,Total,Work,2169.6628,2945.0
39,Total,Work,3346.2877,2544.0
40,Total,Work,4038.0219,2148.0
41,Total,Work,1904.6464,1795.0
42,Total,Work,84.8534,1426.0
43,Total,Work,1884.5639,1222.0
44,Total,Work,402.653,1108.0
45,Total,Work,2687.3054,898.0
46,Total,Work,130.1429,764.0
47,Total,Work,110.7881,624.0
48,Total,Work,2051.6827,522.0
49,Total,Work,586.1841,487.0
50,Total,Work,529.0284,349.0
51,Total,Work,4173.2743,0.0
1,1: Downtown,University,1180.5937,587.0
2,1: Downtown,University,604.7971,222.0
3,1: Downtown,University,42.5421,60.0
4,1: Downtown,University,0.0,11.0
5,1: Downtown,University,0.0,30.0
6,1: Downtown,University,218.4484,70.0
7,1: Downtown,University,19.5998,52.0
8,1: Downtown,University,46.7944,184.0
9,1: Downtown,University,0.0,115.0
10,1: Downtown,University,346.5031,124.0
11,1: Downtown,University,0.0,57.0
12,1: Downtown,University,0.0,5.0
13,1: Downtown,University,0.0,12.0
