period,skim_period,purpose,survey_freq_dep,survey_freq_arr,model_freq_dep,model_freq_arr
14.75,3: MD,9: Work-based,9038.936195,11198.22293,2350,4217.0
14.75,3: MD,4: Escort,32791.15878,29045.95497,77880,92902.0
14.75,3: MD,6: Individual Discretionary,11454.00804,15929.90728,10609,12337.0
14.75,3: MD,5: Individual Maintenance,26729.56232,37700.75249,24406,31658.0
14.75,3: MD,8: Joint Discretionary,1076.366773,1723.812266,1543,1632.0
14.75,3: MD,7: Joint Maintenance,1252.369895,1946.197045,2585,3317.0
14.75,3: MD,3: School,1615.602623,46663.6329,1881,121138.0
14.75,3: MD,Total,95423.55761,188869.1309,137144,315472.0
14.75,3: MD,2: University,1676.328531,12945.01317,1264,5033.0
14.75,3: MD,1: Work,9789.224453,31715.63789,14626,43238.0
15.25,3: MD,9: Work-based,5609.169395,11570.51624,1889,3245.0
15.25,3: MD,4: Escort,20885.26733,27620.9804,68640,100183.0
15.25,3: MD,6: Individual Discretionary,14643.35266,20538.80608,13063,12064.0
15.25,3: MD,5: Individual Maintenance,22971.37386,29372.25189,24587,32143.0
15.25,3: MD,8: Joint Discretionary,2825.70304,750.680205,2311,1626.0
15.25,3: MD,7: Joint Maintenance,1443.60304,2411.409748,2915,3415.0
15.25,3: MD,3: School,3731.41135,40608.08859,2018,114097.0
15.25,3: MD,Total,84363.29243,186661.3511,129571,335886.0
15.25,3: MD,2: University,1512.711063,5754.03527,1010,5250.0
15.25,3: MD,1: Work,10740.70069,48034.58272,13138,63863.0
15.75,4: PM,9: Work-based,3134.707587,9797.816592,1438,2352.0
15.75,4: PM,4: Escort,15360.84866,31092.14677,44250,55074.0
15.75,4: PM,6: Individual Discretionary,18514.46544,25937.68617,16186,9222.0
15.75,4: PM,5: Individual Maintenance,20476.21387,26538.85684,25299,28407.0
15.75,4: PM,8: Joint Discretionary,945.2968454,935.8222867,1862,1254.0
15.75,4: PM,7: Joint Maintenance,2885.457855,1719.25221,3417,3207.0
15.75,4: PM,3: School,1440.85757,39638.96683,2073,71701.0
15.75,4: PM,Total,75799.87986,202517.8612,107184,248931.0
15.75,4: PM,2: University,3691.264248,10914.74351,827,5222.0
15.75,4: PM,1: Work,9350.767775,55942.56998,11832,72492.0
16.25,4: PM,9: Work-based,2334.121235,4554.819492,1145,1910.0
16.25,4: PM,4: Escort,19495.48628,20161.11581,36867,48441.0
16.25,4: PM,6: Individual Discretionary,17555.11225,18525.228,18865,9752.0
16.25,4: PM,5: Individual Maintenance,16215.53755,30088.29051,23950,31575.0
16.25,4: PM,8: Joint Discretionary,3674.007146,1642.627451,2827,1373.0
16.25,4: PM,7: Joint Maintenance,3261.651338,1616.365968,3474,3699.0
16.25,4: PM,3: School,1907.459293,18197.50776,1940,41018.0
16.25,4: PM,Total,72886.41427,162446.8059,100516,232801.0
16.25,4: PM,2: University,2592.928543,4315.884408,643,5223.0
16.25,4: PM,1: Work,5850.110634,63344.96649,10805,89810.0
16.75,4: PM,9: Work-based,2087.537678,4591.095276,1154,1582.0
16.75,4: PM,4: Escort,18739.95793,17134.90972,23536,31061.0
16.75,4: PM,6: Individual Discretionary,21811.07941,15693.21446,21243,14117.0
16.75,4: PM,5: Individual Maintenance,12496.10905,22986.07235,22364,28692.0
16.75,4: PM,8: Joint Discretionary,5976.042158,1436.134773,3297,2000.0
16.75,4: PM,7: Joint Maintenance,3336.986029,4223.46112,3356,3548.0
16.75,4: PM,3: School,4021.709396,28761.45666,1797,34898.0
16.75,4: PM,Total,78811.33917,194544.9324,90396,241413.0
16.75,4: PM,2: University,3427.265434,1776.658698,3969,5040.0
16.75,4: PM,1: Work,6914.65209,97941.92935,9680,120475.0
17.25,4: PM,9: Work-based,1646.470732,1718.445393,893,1146.0
17.25,4: PM,4: Escort,15617.13023,22519.4069,21812,25753.0
17.25,4: PM,6: Individual Discretionary,35306.29878,18890.794,25355,15897.0
17.25,4: PM,5: Individual Maintenance,13806.57352,28300.3783,22514,25918.0
17.25,4: PM,8: Joint Discretionary,4331.270807,1535.11359,5321,2414.0
17.25,4: PM,7: Joint Maintenance,2006.816178,2659.874609,3739,3469.0
17.25,4: PM,3: School,2999.007443,19189.80741,1654,33103.0
17.25,4: PM,Total,84001.56509,210872.706,93325,252464.0
17.25,4: PM,2: University,1949.1784,5421.676694,3026,4813.0
17.25,4: PM,1: Work,6338.81901,110637.2091,9011,139951.0
17.75,4: PM,9: Work-based,2609.508325,2033.866025,785,847.0
17.75,4: PM,4: Escort,15187.99068,14654.66573,19121,22918.0
17.75,4: PM,6: Individual Discretionary,34569.10258,24787.43728,32235,18429.0
17.75,4: PM,5: Individual Maintenance,18652.20081,14755.67535,22489,22899.0
17.75,4: PM,8: Joint Discretionary,9572.717796,2266.50445,6711,2968.0
17.75,4: PM,7: Joint Maintenance,2500.034187,2193.08608,4203,3294.0
17.75,4: PM,3: School,1887.685212,15342.94203,1379,27039.0
17.75,4: PM,Total,98600.60851,177678.5626,97707,224839.0
17.75,4: PM,2: University,7172.164649,5376.275903,2297,4532.0
17.75,4: PM,1: Work,6449.204268,96268.1098,8487,121913.0
18.25,4: PM,9: Work-based,1840.07492,1604.247805,745,760.0
18.25,4: PM,4: Escort,16173.70706,15786.84662,17273,19343.0
18.25,4: PM,6: Individual Discretionary,34689.77712,24455.06648,38449,20427.0
18.25,4: PM,5: Individual Maintenance,13135.48357,25965.53521,23662,25073.0
18.25,4: PM,8: Joint Discretionary,6933.528492,5256.043662,8732,3578.0
18.25,4: PM,7: Joint Maintenance,1298.955857,3615.84542,4609,3912.0
18.25,4: PM,3: School,1941.04822,16849.87826,985,13687.0
18.25,4: PM,Total,87391.61889,202236.1576,103694,176780.0
18.25,4: PM,2: University,6137.766614,9811.740439,1705,4266.0
18.25,4: PM,1: Work,5241.277035,98890.95374,7534,85734.0
18.75,4: PM,9: Work-based,774.7795054,2157.152465,611,718.0
18.75,4: PM,4: Escort,10190.06254,9989.667946,15341,17532.0
18.75,4: PM,6: Individual Discretionary,34398.70418,20876.25963,41592,23534.0
18.75,4: PM,5: Individual Maintenance,6373.610845,15362.70327,24664,21308.0
18.75,4: PM,8: Joint Discretionary,6697.701958,5451.30049,10571,4448.0
18.75,4: PM,7: Joint Maintenance,1815.441351,2194.059084,4955,3513.0
18.75,4: PM,3: School,1814.687282,7977.090901,713,7260.0
18.75,4: PM,Total,69972.08559,142636.1124,106239,137006.0
18.75,4: PM,2: University,1083.237418,10733.3384,1373,4133.0
18.75,4: PM,1: Work,6823.860501,67894.54024,6419,54560.0
19.25,5: EV,9: Work-based,557.8626267,416.4861667,620,723.0
19.25,5: EV,4: Escort,9121.015608,16975.91997,13507,16172.0
19.25,5: EV,6: Individual Discretionary,21520.46274,24518.59756,23592,26908.0
19.25,5: EV,5: Individual Maintenance,16360.82209,14516.73496,18169,22525.0
19.25,5: EV,8: Joint Discretionary,4749.772862,6486.540973,4906,5687.0
19.25,5: EV,7: Joint Maintenance,4367.914353,2126.754702,3581,4048.0
19.25,5: EV,3: School,165.85982,12507.36744,430,4391.0
19.25,5: EV,Total,64038.38395,140759.7147,70588,133128.0
19.25,5: EV,2: University,1762.763421,4058.736874,209,3736.0
19.25,5: EV,1: Work,5431.910425,59152.57606,5574,48938.0
19.75,5: EV,9: Work-based,82.4535,615.40582,576,638.0
19.75,5: EV,4: Escort,6814.332262,8009.201055,11346,14016.0
19.75,5: EV,6: Individual Discretionary,13443.24387,22992.75541,9095,29313.0
19.75,5: EV,5: Individual Maintenance,6890.65094,12149.01517,13573,23496.0
19.75,5: EV,8: Joint Discretionary,2147.001451,6397.876612,1579,6550.0
19.75,5: EV,7: Joint Maintenance,924.8622935,2472.555275,2491,4469.0
19.75,5: EV,3: School,1078.78678,7309.036137,315,2450.0
19.75,5: EV,Total,33155.75162,106687.2227,43835,117016.0
19.75,5: EV,2: University,706.05799,4069.672146,198,3720.0
19.75,5: EV,1: Work,1068.362533,42671.70508,4662,32364.0
20.25,5: EV,9: Work-based,447.76845,298.5123,506,680.0
20.25,5: EV,4: Escort,2429.283585,11772.48551,10015,12009.0
20.25,5: EV,6: Individual Discretionary,11072.0604,25633.61318,6943,31662.0
20.25,5: EV,5: Individual Maintenance,5904.543572,13395.427,9483,24234.0
20.25,5: EV,8: Joint Discretionary,806.7462866,8406.087298,1244,6797.0
20.25,5: EV,7: Joint Maintenance,753.8998733,2081.854757,1596,4679.0
20.25,5: EV,3: School,402.2394083,10758.85235,212,1319.0
20.25,5: EV,Total,23802.39083,117055.703,33845,109442.0
20.25,5: EV,2: University,109.600075,3539.166926,233,3753.0
20.25,5: EV,1: Work,1876.24918,41169.7037,3613,24309.0
20.75,5: EV,9: Work-based,766.4076,1031.489145,490,543.0
20.75,5: EV,4: Escort,1738.615793,7104.251193,8331,10373.0
20.75,5: EV,6: Individual Discretionary,5423.427791,30973.14881,4965,32256.0
20.75,5: EV,5: Individual Maintenance,1521.78022,8119.578391,6550,17094.0
20.75,5: EV,8: Joint Discretionary,435.4476017,5755.569377,776,6650.0
20.75,5: EV,7: Joint Maintenance,73.455475,2721.508077,1057,3305.0
20.75,5: EV,3: School,424.1205667,9496.367896,148,699.0
20.75,5: EV,Total,11427.00752,102619.2894,25380,93781.0
20.75,5: EV,2: University,153.84335,9168.892287,238,3386.0
20.75,5: EV,1: Work,889.9091198,28248.48426,2825,19475.0
21.25,5: EV,9: Work-based,943.9466,659.73532,443,547.0
21.25,5: EV,4: Escort,1779.132857,5270.89182,7233,8884.0
21.25,5: EV,6: Individual Discretionary,5145.386622,25702.18623,3655,35590.0
21.25,5: EV,5: Individual Maintenance,2387.895648,6188.8949,4098,12642.0
21.25,5: EV,8: Joint Discretionary,600.5040133,3428.999532,505,6513.0
21.25,5: EV,7: Joint Maintenance,125.7579767,735.3369517,656,2346.0
21.25,5: EV,3: School,0.0,2063.408923,113,377.0
21.25,5: EV,Total,11827.22388,76712.68045,19110,86417.0
21.25,5: EV,2: University,13.762245,10442.6961,155,3143.0
21.25,5: EV,1: Work,830.8379203,22220.53068,2252,16375.0
21.75,5: EV,9: Work-based,525.23835,955.48789,387,524.0
21.75,5: EV,4: Escort,549.6016892,2779.177372,6062,7564.0
21.75,5: EV,6: Individual Discretionary,4437.547729,17789.67701,2720,14475.0
21.75,5: EV,5: Individual Maintenance,2827.926379,8391.686812,2829,9041.0
21.75,5: EV,8: Joint Discretionary,41.405275,1919.267814,299,2539.0
21.75,5: EV,7: Joint Maintenance,670.95133,708.2208317,445,1666.0
21.75,5: EV,3: School,0.0,2704.633397,119,389.0
21.75,5: EV,Total,10329.99671,58717.47062,14680,53183.0
21.75,5: EV,2: University,460.9153,4801.758456,120,2502.0
21.75,5: EV,1: Work,816.4106596,18667.56104,1699,14483.0
22.25,5: EV,9: Work-based,149.25615,331.1788,324,518.0
22.25,5: EV,4: Escort,443.41602,3047.498,5142,6653.0
22.25,5: EV,6: Individual Discretionary,5464.788801,11671.15239,2090,12980.0
22.25,5: EV,5: Individual Maintenance,179.9311133,7283.066952,1940,6522.0
22.25,5: EV,8: Joint Discretionary,65.0568,1738.129552,227,1701.0
22.25,5: EV,7: Joint Maintenance,86.9997,827.30709,280,1133.0
22.25,5: EV,3: School,0.0,785.5288112,81,415.0
22.25,5: EV,Total,7061.940991,42782.33063,11363,45156.0
22.25,5: EV,2: University,346.6534,4007.875412,71,2149.0
22.25,5: EV,1: Work,325.8390067,13090.59362,1208,13085.0
22.75,5: EV,9: Work-based,298.5123,300.8472,277,537.0
22.75,5: EV,4: Escort,51.79902667,2524.064465,4472,5798.0
22.75,5: EV,6: Individual Discretionary,927.15736,13527.27174,1604,8267.0
22.75,5: EV,5: Individual Maintenance,433.85604,848.0897967,1156,4842.0
22.75,5: EV,8: Joint Discretionary,0.0,616.1741167,160,968.0
22.75,5: EV,7: Joint Maintenance,0.0,234.1964635,169,791.0
22.75,5: EV,3: School,0.0,0.0,75,435.0
22.75,5: EV,Total,2884.638897,30794.95541,8820,35720.0
22.75,5: EV,2: University,47.60705,2779.771718,27,1654.0
22.75,5: EV,1: Work,1125.70712,9964.53991,880,12428.0
23.25,5: EV,9: Work-based,298.5123,447.76845,198,472.0
23.25,5: EV,4: Escort,1178.308558,330.6402083,3802,4954.0
23.25,5: EV,6: Individual Discretionary,874.3374511,7271.766457,967,7305.0
23.25,5: EV,5: Individual Maintenance,346.896115,921.453295,770,3557.0
23.25,5: EV,8: Joint Discretionary,0.0,264.244105,90,777.0
23.25,5: EV,7: Joint Maintenance,13.44415,421.7703,119,522.0
23.25,5: EV,3: School,0.0,335.70571,44,437.0
23.25,5: EV,Total,3224.245914,16720.19998,6589,32027.0
23.25,5: EV,2: University,159.52201,213.5536354,4,1181.0
23.25,5: EV,1: Work,353.22533,6513.297817,595,12822.0
23.75,5: EV,9: Work-based,0.0,0.0,117,398.0
23.75,5: EV,4: Escort,16.9786,1283.372451,3476,4240.0
23.75,5: EV,6: Individual Discretionary,321.30709,4515.192478,582,3925.0
23.75,5: EV,5: Individual Maintenance,13.01136,124.813035,400,2560.0
23.75,5: EV,8: Joint Discretionary,0.0,90.16099333,41,371.0
23.75,5: EV,7: Joint Maintenance,0.0,13.44415,36,396.0
23.75,5: EV,3: School,0.0,0.0,28,441.0
23.75,5: EV,Total,1451.671464,15527.09875,5068,28152.0
23.75,5: EV,2: University,0.0,1836.875921,7,945.0
23.75,5: EV,1: Work,1100.374414,7663.23972,381,14876.0
24.25,5: EV,9: Work-based,0.0,0.0,53,273.0
24.25,5: EV,4: Escort,2983.216681,5185.000606,1271,5797.0
24.25,5: EV,6: Individual Discretionary,2335.779993,9816.392034,177,4077.0
24.25,5: EV,5: Individual Maintenance,284.505505,1928.211952,111,2071.0
24.25,5: EV,8: Joint Discretionary,273.9411667,382.5678867,14,399.0
24.25,5: EV,7: Joint Maintenance,16.3259,29.39392,13,265.0
24.25,5: EV,3: School,33.09688,31.41696,20,449.0
24.25,5: EV,Total,10665.62369,32689.22827,1898,39594.0
24.25,5: EV,2: University,331.0038667,2692.363862,1,692.0
24.25,5: EV,1: Work,4407.7537,12623.88105,238,25571.0
